Numero_Ata;UASG_Gerenciadora;Processo_Compra;Data_Assinatura;Vigencia_Inicial;Vigencia_Final;CNPJ_Fornecedor;Razao_Social_Fornecedor;Numero_Item;Descricao_Item;Qtd_Originaria_Edital;Qtd_Homologada_Vigente;Valor_Unitario_R$;Valor_Total_Item_R$;Objeto_Ata
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"92.249.150/0001-51";"MITREN - SISTEMAS E MONTAGENS VEICULARES S.A.";"00001";"CAMINHÃO, TIPO PIPA, POTÊNCIA MOTOR 230 CV, MOTOR DIESEL, CAPACIDADE VOLUMÉTRICA 12.000 L";"206";"206";"2.566.192,35";"528.635.624,10";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00002";"ENSAIO DE EFICIÊNCIA ENERGÉTICA";"60";"60";"800,00";"48.000,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00004";"AVALIAÇÃO DE ERGONOMIA";"60";"60";"415,00";"24.900,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00006";"ENSAIO DE EFICIÊNCIA DE FRENAGEM E AVALIAÇÃO DE PNEUS";"60";"60";"1.328,00";"79.680,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00008";"ENSAIO/TESTE SLALOM";"60";"60";"1.152,00";"69.120,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00010";"ENSAIO DE CIRCUITO URBANO";"60";"60";"1.476,00";"88.560,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00001";"ENSAIO DE VERIFICAÇÃO DE CARACTERÍSTICAS GERAIS E METROLOGIA";"60";"60";"700,00";"42.000,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00003";"ENSAIO DE RESISTÊNCIA GLOBAL";"60";"60";"1.170,00";"70.200,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00005";"ENSAIO DE ACELERAÇÃO";"60";"60";"1.300,00";"78.000,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00007";"ENSAIO/TESTE DO ALCE";"60";"60";"1.152,00";"69.120,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00009";"ENSAIO DE ALTA VELOCIDADE";"60";"60";"1.422,00";"85.320,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00049/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2025";"26/08/2025";"29/08/2025";"29/08/2027";"10.228.279/0001-19";"SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA";"00011";"ENSAIO  DE  OFFROAD";"18";"18";"1.928,00";"34.704,00";"A presente Ata tem por objeto o registro de preços para a eventual contratação de serviços de ensaio em veículos leves utilizados como viaturas na atividade de segurança pública, especificado (s) no(s) item(ns) 1 ao 11 constante da tabela anexa ao item 1.1 do Termo de Referência (30819371), anexo do Edital do Pregão Eletrônico nº 90005/2025 (30819380)."
"00041/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90013/2025";"21/08/2025";"27/08/2025";"27/08/2027";"03.817.702/0001-50";"VOLUS INSTITUICAO DE PAGAMENTO LTDA";"00001";"QUEROSENE, USO PARA AVIAÇÃO, TIPO QAV-1";"9166490";"9166490";"9,97";"91.354.155,99";"Registro de preços para a eventual aquisição de apetrechos táticos e de campanha, especificado(s) no(s) item(ns) 5 e 6 constantes da tabela anexa ao item 1.1 do Termo de Referência, anexo I do edital de Licitação nº 90013/2025."
"00041/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90013/2025";"21/08/2025";"27/08/2025";"27/08/2027";"03.817.702/0001-50";"VOLUS INSTITUICAO DE PAGAMENTO LTDA";"00002";"Taxa de Administração para serviço de gerenciamento e controle de fornecimento  de combustível de aviação";"21946";"21946";"5,78";"126.847,88";"Registro de preços para a eventual aquisição de apetrechos táticos e de campanha, especificado(s) no(s) item(ns) 5 e 6 constantes da tabela anexa ao item 1.1 do Termo de Referência, anexo I do edital de Licitação nº 90013/2025."
"00041/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90013/2025";"21/08/2025";"27/08/2025";"27/08/2027";"46.973.126/0001-43";"SSG SOLUCOES LTDA";"00006";"REDE DE DORMIR, MATERIAL NYLON, TIPO MILITAR, CARACTERÍSTICAS ADICIONAIS MOSQUITEIRO, ZÍPER, CAPTAÇÃO ÁGUA CHUVA, CAMUFLAD A";"6505";"6505";"411,84";"2.679.019,20";"Registro de preços para a eventual aquisição de apetrechos táticos e de campanha, especificado(s) no(s) item(ns) 5 e 6 constantes da tabela anexa ao item 1.1 do Termo de Referência, anexo I do edital de Licitação nº 90013/2025."
"00041/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90013/2025";"21/08/2025";"27/08/2025";"27/08/2027";"46.973.126/0001-43";"SSG SOLUCOES LTDA";"00005";"CAMA METÁLICA DOBRÁVEL, MATERIAL ESTRUTURA AÇO, TIPO ESTRADO TECIDO POLIAMIDA, COMPRIMENTO 1,88 M, LARGURA 0,58 M, ALTURA 0,45 M, APLICAÇÃO CAMPANHA, CARACTERÍSTICAS ADICIONAIS DOBRÁVEL PARA ESTOCAGEM E TRANSPORTE";"4433";"4433";"270,00";"1.196.910,00";"Registro de preços para a eventual aquisição de apetrechos táticos e de campanha, especificado(s) no(s) item(ns) 5 e 6 constantes da tabela anexa ao item 1.1 do Termo de Referência, anexo I do edital de Licitação nº 90013/2025."
"00041/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90013/2025";"21/08/2025";"27/08/2025";"27/08/2027";"89.422.042/0001-24";"TRIEL-HT INDUSTRIAL E PARTICIPACOES S/A";"00001";"Veículo Especial";"161";"161";"678.800,00";"109.286.800,00";"Registro de preços para a eventual aquisição de apetrechos táticos e de campanha, especificado(s) no(s) item(ns) 5 e 6 constantes da tabela anexa ao item 1.1 do Termo de Referência, anexo I do edital de Licitação nº 90013/2025."
"00048/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90036/2024";"15/08/2025";"19/08/2025";"19/08/2027";"49.490.183/0001-60";"T L SOLUCOES TECNOLOGICAS LTDA";"00006";"AERONAVES TELEGUIADAS, TIPO AERONAVE REMOTAMENTE PILOTADA (DRONE), QUANTIDADE MOTORES 4 MOTORES, TAMANHO DIAGONAL 400 MM, CARACTERÍSTICAS ADICIONAIS SENSOR CMOS DE 20 MEGAPIXELS DE 1 POLEGADA";"25";"25";"139.063,54";"3.476.588,50";"registro de preços para a eventual aquisição de miras optrônicas para atender a demanda da Secretaria Nacional de Segurança Pública e demais órgãos participantes, especificados no Termo de Referência, anexo I do edital de Licitação nº 90036/2024."
"00048/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90036/2024";"15/08/2025";"19/08/2025";"19/08/2027";"";"?eská zbrojovka a.s.";"00001";"PEÇAS / ACESSÓRIOS ARMAMENTO, TIPO 3 MIRA, MATERIAL METAL, APLICAÇÃO ESPINGARDA CALIBRE 12/ PUMP BSA 5T 84/ BOITO";"34346";"34346";"686,90";"23.592.370,44";"registro de preços para a eventual aquisição de miras optrônicas para atender a demanda da Secretaria Nacional de Segurança Pública e demais órgãos participantes, especificados no Termo de Referência, anexo I do edital de Licitação nº 90036/2024."
"00045/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90013/2025";"15/08/2025";"19/08/2025";"19/08/2027";"51.118.112/0001-82";"PEDROSO NEGOCIOS GOVERNAMENTAIS PRODUTOS E SERVICOS LTDA";"00004";"AERONAVES TELEGUIADAS, TIPO AERONAVE REMOTAMENTE PILOTADA (DRONE), QUANTIDADE MOTORES 4 MOTORES, TAMANHO DIAGONAL 400 MM, PESO MÁXIMO 1.200 G, VELOCIDADE ASCENSÃO VERTICAL 8 M/S";"60";"60";"35.473,00";"2.128.380,00";"Registro de preços para a eventual aquisição de apetrechos táticos e de campanha, especificado(s) no(s) item(ns) 1 constante da tabela anexa ao item 1.1 do Termo de Referência, anexo I do edital de Licitação nº 90013/2025"
"00045/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90013/2025";"15/08/2025";"19/08/2025";"19/08/2027";"54.974.490/0001-56";"FSG COMERCIO E CONSULTORIA LICITATORIA LTDA";"00001";"MOCHILA, MATERIAL POLIAMIDA, QUANTIDADE COMPARTIMENTOS 8 UN, APLICAÇÃO RESGATE , ALTURA 40 CM, LARGURA 60 CM, PROFUNDIDADE 28 CM, CARACTERÍSTICAS ADICIONAIS TÉRMICA, FECHAMENTO COM ZÍPER, TIPO ALÇA RESISTENTES";"16451";"16451";"328,00";"5.395.928,00";"Registro de preços para a eventual aquisição de apetrechos táticos e de campanha, especificado(s) no(s) item(ns) 1 constante da tabela anexa ao item 1.1 do Termo de Referência, anexo I do edital de Licitação nº 90013/2025"
"00041/2026";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA";"1331/2025";"17/08/2026";"18/08/2026";"18/08/2027";"03.817.702/0001-50";"VOLUS INSTITUICAO DE PAGAMENTO LTDA";"00001";"QUEROSENE, USO PARA AVIAÇÃO, TIPO QAV-1";"9166490";"9166490";"9,97";"91.354.155,99";"Registro de Preços para aquisição de veículos Auto Busca Salvamento Médio (ABSM) para atender demanda da Secretaria Nacional de Segurança Pública e demais órgãos participantes"
"00041/2026";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA";"1331/2025";"17/08/2026";"18/08/2026";"18/08/2027";"03.817.702/0001-50";"VOLUS INSTITUICAO DE PAGAMENTO LTDA";"00002";"Taxa de Administração para serviço de gerenciamento e controle de fornecimento  de combustível de aviação";"21946";"21946";"5,78";"126.847,88";"Registro de Preços para aquisição de veículos Auto Busca Salvamento Médio (ABSM) para atender demanda da Secretaria Nacional de Segurança Pública e demais órgãos participantes"
"00041/2026";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA";"1331/2025";"17/08/2026";"18/08/2026";"18/08/2027";"46.973.126/0001-43";"SSG SOLUCOES LTDA";"00006";"REDE DE DORMIR, MATERIAL NYLON, TIPO MILITAR, CARACTERÍSTICAS ADICIONAIS MOSQUITEIRO, ZÍPER, CAPTAÇÃO ÁGUA CHUVA, CAMUFLAD A";"6505";"6505";"411,84";"2.679.019,20";"Registro de Preços para aquisição de veículos Auto Busca Salvamento Médio (ABSM) para atender demanda da Secretaria Nacional de Segurança Pública e demais órgãos participantes"
"00041/2026";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA";"1331/2025";"17/08/2026";"18/08/2026";"18/08/2027";"46.973.126/0001-43";"SSG SOLUCOES LTDA";"00005";"CAMA METÁLICA DOBRÁVEL, MATERIAL ESTRUTURA AÇO, TIPO ESTRADO TECIDO POLIAMIDA, COMPRIMENTO 1,88 M, LARGURA 0,58 M, ALTURA 0,45 M, APLICAÇÃO CAMPANHA, CARACTERÍSTICAS ADICIONAIS DOBRÁVEL PARA ESTOCAGEM E TRANSPORTE";"4433";"4433";"270,00";"1.196.910,00";"Registro de Preços para aquisição de veículos Auto Busca Salvamento Médio (ABSM) para atender demanda da Secretaria Nacional de Segurança Pública e demais órgãos participantes"
"00041/2026";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA";"1331/2025";"17/08/2026";"18/08/2026";"18/08/2027";"89.422.042/0001-24";"TRIEL-HT INDUSTRIAL E PARTICIPACOES S/A";"00001";"Veículo Especial";"161";"161";"678.800,00";"109.286.800,00";"Registro de Preços para aquisição de veículos Auto Busca Salvamento Médio (ABSM) para atender demanda da Secretaria Nacional de Segurança Pública e demais órgãos participantes"
"00038/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90006/2025";"08/08/2025";"11/08/2025";"10/08/2027";"52.201.456/0001-13";"LEICA DO BRASIL IMPORTACAO E COMERCIO LTDA.";"00001";"MICROSCÓPIO, TIPO DE ANÁLISE ÓTICO, VERTICAL, TIPO BINOCULAR, AUMENTO OCULAR ATÉ 15X, COMPONENTES DIGITAL, AUTOMÁTICO, OUTROS COMPONENTES FOCALIZAÇÃO COAXIAL, COMPATÍVEL C/ FLUORESCÊNCIA, ADICIONAL INCLINAÇÃO ATÉ 30°";"87";"87";"502.978,65";"43.759.142,55";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de comparadores balísticos manuais e equipamento de limpeza ultrassônica para os institutos de perícia, especificados no Termo de Referência, anexo do Edital do Pregão Eletrônico nº 90006/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição."
"00038/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90006/2025";"08/08/2025";"11/08/2025";"10/08/2027";"";"ULTRAMAR USA";"00001";"SONAR, COMPRIMENTO 1,20 M, LARGURA 25,80 CM, FAIXA FREQÜÊNCIA 3 A 15 KHZ, TEMPERATURA OPERAÇÃO 5 A 30 °C, PROFUNDIDADE MÁXIMA OPERAÇÃO 50 M";"38";"38";"379.418,34";"14.417.896,92";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de comparadores balísticos manuais e equipamento de limpeza ultrassônica para os institutos de perícia, especificados no Termo de Referência, anexo do Edital do Pregão Eletrônico nº 90006/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição."
"00039/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90006/2025";"31/07/2025";"05/08/2025";"05/08/2027";"92.249.150/0001-51";"MITREN - SISTEMAS E MONTAGENS VEICULARES S.A.";"00003";"CAMINHÃO, TIPO PIPA, POTÊNCIA MOTOR 230 CV, MOTOR DIESEL, CAPACIDADE VOLUMÉTRICA 12.000 L";"162";"162";"1.494.198,62";"242.060.176,44";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de comparadores balísticos manuais e equipamento de limpeza ultrassônica para os institutos de perícia, especificados no Termo de Referência, anexo do Edital do Pregão Eletrônico nº 90006/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição."
"00039/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90006/2025";"31/07/2025";"05/08/2025";"05/08/2027";"25.462.154/0001-26";"OBJECT COMERCIO DE EQUIPAMENTOS LTDA";"00002";"LAVADORA ULTRASSÔNICA, MODELO HORIZONTAL, DE BANCADA, MATERIAL GABINETE E TAMPA EM POLÍMERO, AJUSTE PAINEL DIGITAL, CAPACIDADE CERCA DE 2 L, TEMPERATURA TEMPERATURA ATÉ 65 °C, ADICIONAL 1 C/ CESTO P/ INSTRUMENTAL, CARACTERÍSTICA ABASTECIMENTO E ESCOAMENTO MANUAL";"185";"185";"2.427,99";"449.178,15";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de comparadores balísticos manuais e equipamento de limpeza ultrassônica para os institutos de perícia, especificados no Termo de Referência, anexo do Edital do Pregão Eletrônico nº 90006/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição."
"00039/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90006/2025";"31/07/2025";"05/08/2025";"05/08/2027";"03.871.566/0003-49";"ESCOLA DE AVIACAO CIVIL ASAS ROTATIVAS LTDA";"00001";"Curso / Aperfeiçoamento - Pilotagem de Aeronave";"272";"272";"85.000,00";"23.120.000,00";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de comparadores balísticos manuais e equipamento de limpeza ultrassônica para os institutos de perícia, especificados no Termo de Referência, anexo do Edital do Pregão Eletrônico nº 90006/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição."
"00039/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90006/2025";"31/07/2025";"05/08/2025";"05/08/2027";"03.871.566/0003-49";"ESCOLA DE AVIACAO CIVIL ASAS ROTATIVAS LTDA";"00002";"Curso / Aperfeiçoamento - Pilotagem de Aeronave";"280";"280";"135.000,00";"37.800.000,00";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de comparadores balísticos manuais e equipamento de limpeza ultrassônica para os institutos de perícia, especificados no Termo de Referência, anexo do Edital do Pregão Eletrônico nº 90006/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição."
"00039/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90006/2025";"31/07/2025";"05/08/2025";"05/08/2027";"03.871.566/0003-49";"ESCOLA DE AVIACAO CIVIL ASAS ROTATIVAS LTDA";"00003";"Curso / Aperfeiçoamento - Pilotagem de Aeronave";"254";"254";"64.989,00";"16.507.206,00";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de comparadores balísticos manuais e equipamento de limpeza ultrassônica para os institutos de perícia, especificados no Termo de Referência, anexo do Edital do Pregão Eletrônico nº 90006/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição."
"00039/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90006/2025";"31/07/2025";"05/08/2025";"05/08/2027";"03.622.266/0001-64";"EFAI - ESCOLA DE AVIACAO CIVIL LTDA";"00004";"Curso / Aperfeiçoamento - Pilotagem de Aeronave";"350";"350";"49.740,00";"17.409.000,00";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de comparadores balísticos manuais e equipamento de limpeza ultrassônica para os institutos de perícia, especificados no Termo de Referência, anexo do Edital do Pregão Eletrônico nº 90006/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição."
"00047/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90034/2024";"31/07/2025";"04/08/2025";"04/08/2027";"57.494.031/0001-63";"COMPANHIA BRASILEIRA DE CARTUCHOS";"00001";"Projetil E Componentes Munição Até 30mm Nome: Projetil E Componentes Munição Até 30mm: Munição 9mm Luger Treina EOOG 124gr NTA.";"1888000";"1888000";"2,41";"4.550.080,00";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de controle de distúrbios civis (CDC), especificada no item 3, constante(s) da tabela anexa ao item 1.1 do Termo de Referência (29988158), anexo I do edital de Licitação nº 90034/2024 (30013155) que é parte integrante desta Ata, assim como a proposta cujo preço tenha sido registrado (32080222), independentemente de transcrição."
"00047/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90034/2024";"31/07/2025";"04/08/2025";"04/08/2027";"57.494.031/0001-63";"COMPANHIA BRASILEIRA DE CARTUCHOS";"00003";"Projetil E Componentes Munição Até 30mm Nome: Projetil E Componentes Munição Até 30mm: Munição 9mm Luger Treina EOOG 124gr NTA.";"3168000";"3168000";"2,57";"8.141.760,00";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de controle de distúrbios civis (CDC), especificada no item 3, constante(s) da tabela anexa ao item 1.1 do Termo de Referência (29988158), anexo I do edital de Licitação nº 90034/2024 (30013155) que é parte integrante desta Ata, assim como a proposta cujo preço tenha sido registrado (32080222), independentemente de transcrição."
"00047/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90034/2024";"31/07/2025";"04/08/2025";"04/08/2027";"57.494.031/0001-63";"COMPANHIA BRASILEIRA DE CARTUCHOS";"00005";"Projetil E Componentes Munição Até 30mm Nome: Projetil E Componentes Munição Até 30mm: Munição 9mm Luger Treina EOOG 124gr NTA.";"351000";"351000";"2,82";"989.820,00";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de controle de distúrbios civis (CDC), especificada no item 3, constante(s) da tabela anexa ao item 1.1 do Termo de Referência (29988158), anexo I do edital de Licitação nº 90034/2024 (30013155) que é parte integrante desta Ata, assim como a proposta cujo preço tenha sido registrado (32080222), independentemente de transcrição."
"00047/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90034/2024";"31/07/2025";"04/08/2025";"04/08/2027";"57.494.031/0001-63";"COMPANHIA BRASILEIRA DE CARTUCHOS";"00007";"Projetil E Componentes Munição Até 30mm Nome: Projetil E Componentes Munição Até 30mm: Munição 9mm Luger Treina EOOG 124gr NTA.";"670000";"670000";"3,16";"2.117.200,00";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de controle de distúrbios civis (CDC), especificada no item 3, constante(s) da tabela anexa ao item 1.1 do Termo de Referência (29988158), anexo I do edital de Licitação nº 90034/2024 (30013155) que é parte integrante desta Ata, assim como a proposta cujo preço tenha sido registrado (32080222), independentemente de transcrição."
"00047/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90034/2024";"31/07/2025";"04/08/2025";"04/08/2027";"57.494.031/0001-63";"COMPANHIA BRASILEIRA DE CARTUCHOS";"00009";"Projetil E Componentes Munição Até 30mm Nome: Projetil E Componentes Munição Até 30mm: Munição 9mm Luger Treina EOOG 124gr NTA.";"1403000";"1403000";"3,24";"4.545.720,00";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de controle de distúrbios civis (CDC), especificada no item 3, constante(s) da tabela anexa ao item 1.1 do Termo de Referência (29988158), anexo I do edital de Licitação nº 90034/2024 (30013155) que é parte integrante desta Ata, assim como a proposta cujo preço tenha sido registrado (32080222), independentemente de transcrição."
"00047/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90034/2024";"31/07/2025";"04/08/2025";"04/08/2027";"57.494.031/0001-63";"COMPANHIA BRASILEIRA DE CARTUCHOS";"00011";"Projetil E Componentes Munição Até 30mm Nome: Projetil E Componentes Munição Até 30mm: Munição 9mm Luger Treina EOOG 124gr NTA.";"612000";"612000";"3,32";"2.031.840,00";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de controle de distúrbios civis (CDC), especificada no item 3, constante(s) da tabela anexa ao item 1.1 do Termo de Referência (29988158), anexo I do edital de Licitação nº 90034/2024 (30013155) que é parte integrante desta Ata, assim como a proposta cujo preço tenha sido registrado (32080222), independentemente de transcrição."
