Numero_Ata;UASG_Gerenciadora;Processo_Compra;Modalidade;Data_Assinatura;Vigencia_Inicial;Vigencia_Final;Status_Vigencia;Valor_Total_Ata_R$;Fornecedores_Registrados;Qtd_Itens;Objeto;Link_PNCP
"00002/2026";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90050/2025";"Pregão";"22/01/2026";"23/01/2026";"23/01/2027";"Vigente";"956.247,45";"ARBJI COMERCIO DE ELETRONICOS E COMPONENTES LTDA (04.730.121/0001-40) | GRM MAQUINAS E LOCACOES LTDA (97.541.831/0001-02)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de motogerador de energia, especificado(s) no(s) item(ns) 1 do Termo de Referência, anexo do Edital do Pregão Eletrônico nº 90050/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2025/1447/1"
"00102/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90017/2024";"Pregão";"16/01/2025";"20/01/2025";"20/01/2027";"Vigente";"5.518.029,24";"KADOSHI COMERCIO E REPRESENTACOES LTDA (14.193.613/0001-05)";"1";"Aquisição de mobiliário diversos, especificado no item 01 do Termo de Referência (29279724), anexo do Edital do Pregão Eletrônico nº 17/2024 (29445453).";"https://pncp.gov.br/app/atas/00394494000136/2024/1169/5"
"00103/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90017/2024";"Pregão";"16/01/2025";"20/01/2025";"20/01/2027";"Vigente";"3.490.871,79";"ROAL INDUSTRIA METALURGICA LTDA (94.622.230/0001-36)";"1";"Aquisição de mobiliário diversos, especificado no item  02 do Termo de Referência (29279724), anexo do Edital do Pregão Eletrônico nº 17/2024 (29445453).";"https://pncp.gov.br/app/atas/00394494000136/2024/1169/4"
"00100/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90024/2024";"Pregão";"16/01/2025";"17/01/2025";"17/01/2027";"Vigente";"235.522,86";"BIKE SUL COMERCIO E SERVICOS LTDA (94.684.099/0001-31)";"1";"Aquisição de Equipamentos de Atividade Física, para atender demanda da Secretaria Nacional de Segurança Púbica e demais órgão participantes, especificados no item 62 do Termo de Referência (29290108), anexo do Edital do Pregão Eletrônico nº 90024/2024.";"https://pncp.gov.br/app/atas/00394494000136/2024/1132/11"
"00096/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90024/2024";"Pregão";"16/01/2025";"17/01/2025";"17/01/2027";"Vigente";"2.832.671,76";"DELVA FABRICACAO DE PECAS EM METAIS LTDA (09.135.430/0001-95)";"2";"Aquisição de Equipamentos de Atividade Física, para atender demanda da Secretaria Nacional de Segurança Púbica e demais órgão participantes, especificados nos itens 59 e 61 do Termo de Referência (29290108), anexo do Edital do Pregão Eletrônico nº 90024/2024.";"https://pncp.gov.br/app/atas/00394494000136/2024/1132/10"
"00083/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90030/2024";"Pregão";"15/01/2025";"16/01/2025";"16/01/2027";"Vigente";"255.495,20";"A M M CORREA (53.169.506/0001-95)";"1";"O registro de preços para aquisição de apetrechos táticos e de campanha, para atender demanda da Diretoria da Força Nacional de Segurança Pública e demais órgão participantes, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"https://pncp.gov.br/app/atas/00394494000136/2024/1197/4"
"00104/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90017/2024";"Pregão";"13/01/2025";"15/01/2025";"15/01/2027";"Vigente";"4.691.322,90";"GIGANTE RECEM NASCIDO LTDA. (62.413.869/0001-15)";"1";"Aquisição de mobiliário diversos, especificado no item 03 do Termo de Referência, anexo I do edital de Licitação nº 17/2024.";"https://pncp.gov.br/app/atas/00394494000136/2024/1169/2"
"00105/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90017/2024";"Pregão";"13/01/2025";"15/01/2025";"15/01/2027";"Vigente";"31.833.115,60";"SOLAB CIENTIFICA EQUIPAMENTOS PARA LABORATORIOS LTDA (11.232.743/0001-03)";"1";"Aquisição de mobiliário diversos, especificado no item 04 do Termo de Referência, anexo I do Edital de Licitação nº 17/2024,";"https://pncp.gov.br/app/atas/00394494000136/2024/1169/1"
"00082/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90030/2024";"Pregão";"13/01/2025";"14/01/2025";"14/01/2027";"Vigente";"246.421,92";"GRIFO QAP COMERCIO VAREJISTA DE ROUPAS E ARTIGOS ESPORTIVOS LTDA (27.495.602/0001-13)";"1";"O registro de preços para aquisição de apetrechos táticos e de campanha, para atender demanda da Diretoria da Força Nacional de Segurança Pública e demais órgão participantes, conforme condições, quantidades e exigências estabelecidas no Edital nº 30/2024 (SEI 29509339) e seus anexos.";"https://pncp.gov.br/app/atas/00394494000136/2024/1197/3"
"00084/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90030/2024";"Pregão";"08/01/2025";"10/01/2025";"10/01/2027";"Vigente";"1.035.218,31";"R.BRANDS LTDA (13.992.333/0001-96)";"1";"aquisição de apetrechos táticos e de campanha, para atender demanda da Diretoria da Força Nacional de Segurança Pública e demais órgão participantes, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"https://pncp.gov.br/app/atas/00394494000136/2024/1197/2"
