Numero_Ata;UASG_Gerenciadora;Processo_Compra;Modalidade;Data_Assinatura;Vigencia_Inicial;Vigencia_Final;Status_Vigencia;Valor_Total_Ata_R$;Fornecedores_Registrados;Qtd_Itens;Objeto;Link_PNCP
"00060/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"00348/2024";"Inexigibilidade";"23/12/2024";"26/12/2024";"26/12/2026";"Vigente";"68.300.613,72";"TECHBIZ FORENSE DIGITAL LTDA (05.757.597/0002-18) | Haix - Schuhe - Produktions- und Vertriebs- GmbH ()";"3";"A presente Ata tem por objeto o registro de preços para a eventual contratação de solução para extração e análise de dados de dispositivos móveis, especificado nos itens 1 a 3 do Termo de Referência (30081561) que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados (30027738), independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1544/1"
"00033/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90003/2025";"Pregão";"27/06/2025";"28/06/2025";"26/12/2026";"Vigente";"422.752.810,48";"RENAULT DO BRASIL S.A. (00.913.443/0001-73) | PONIX DISTRIBUIDORA DE PRODUTOS LTDA (32.282.397/0001-48)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de veículos especiais caracterizados, para atender demanda da Secretaria Nacional de Segurança Púbica e demais órgão participantes, especificado no item 3 do Termo de Referência (30672344), anexo do Edital do Pregão Eletrônico nº 90003/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2025/304/2"
"00075/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90046/2025";"Pregão";"24/12/2025";"26/12/2025";"26/12/2026";"Vigente";"63.180.000,00";"DIMORVAN DAVI MENEGUSSO LTDA (07.065.479/0001-93) | INSPECT INTELIGENCIA E TECNOLOGIA LTDA (42.224.229/0001-50)";"2";"A presente Ata tem por objeto o registro de preços para a eventual contratação de solução para reconhecimento de padrões em bases abertas para atender demanda Secretaria Nacional de Segurança Pública (SENASP/MJSP) e demais órgãos participantes, elencados na tabela constante do item 1.1 do Termo de Referência e especificados no Anexo do Termo de Referência I - Especificações Técnicas, anexo do Edital do Pregão Eletrônico nº90046/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2025/1384/1"
"00070/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"00243/2025";"Inexigibilidade";"09/12/2025";"26/12/2025";"26/12/2026";"Vigente";"2.453.170,00";"INOVA EQUIPAMENTOS DE RESGATE LTDA. (44.542.555/0001-30) | QIAGEN BIOTECNOLOGIA BRASIL LTDA. (01.334.250/0003-92)";"3";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de insumos para as plataformas de extração EZ1 e pipetadora automática QIAgility dos Laboratórios da Rede Integrada de Bancos de Perfis Genéticos (RIBPG), especificados nos itens 1 a 3 do Termo de Referência, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2025/1620/1"
"00069/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA";"1102/2025";"Pregão - Eletrônico";"22/12/2025";"26/12/2025";"26/12/2026";"Vigente (Contratos.gov.br)";"1.861.320,28";"SUPORTE COMERCIAL ATACADISTA LTDA (10.907.265/0001-21) | H2G COMERCIAL DE ETIQUETAS E PAPEIS LTDA (32.316.475/0001-88)";"1";"Aquisição dos alvos de tiro defensivo, método Giraldi (silhueta humana), alvos de tiro defensivo, método Giraldi em folha 60x90 cm, e alvos de refém, complementada pela aquisição de obreias de alvo. ";"https://pncp.gov.br/app/atas/00394494000136/2025/1102/1"
"00063/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90014/2024";"Pregão";"20/12/2024";"24/12/2024";"24/12/2026";"Vigente";"1.310.542,21";"FORT CAR REBOQUES LTDA (01.114.890/0001-25) | BGS AMERICA LTDA (18.685.467/0001-88)";"2";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de meios de transporte aquáticos, sendo estes lanchas e motos aquáticas, especificado(s) no(s) item(ns) 01 do Termo de Referência (28091756), anexo I do edital de Licitação nº 14/2024 (28707910), que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/839/4"
"00055/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90014/2024";"Pregão";"20/12/2024";"24/12/2024";"24/12/2026";"Vigente";"645.763.545,00";"MARINE METALURGICA LTDA (07.560.240/0001-90) | FLIR SYSTEMS BRASIL COMERCIO DE CAMERAS INFRAVERMELHAS LTDA. (07.204.578/0001-09)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de meios de transporte aquáticos, sendo estes lanchas e motos aquáticas, especificado(s) no(s) item(ns) 01 do Termo de Referência (28091756), anexo I do edital de Licitação nº 14/2024 (28707910), que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/839/3"
"00089/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"00328/2024";"Inexigibilidade";"23/12/2024";"24/12/2024";"24/12/2026";"Vigente";"10.595.617,37";"LIFE TECHNOLOGIES BRASIL COMERCIO E INDUSTRIA DE PRODUTOS PARA BIOTECNOLOGIA LTD (63.067.904/0005-88)";"15";"A retificação do prazo de validade da Ata de Registro de Preços nº 89/2024 (30194603), para que passe a ser considerada, nos termos do art. 22 do Decreto nº 11.462, de 2023, do dia 24/12/2024 ao dia 24/12/2025.";"https://pncp.gov.br/app/atas/00394494000136/2024/1407/3"
"00078/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90039/2024";"Pregão";"23/12/2024";"24/12/2024";"24/12/2026";"Vigente";"11.407.605,75";"FAGUNDEZ DISTRIBUICAO LTDA (07.953.689/0001-18)";"2";"Retificar o marco e o período da vigência da ARP.";"https://pncp.gov.br/app/atas/00394494000136/2024/1265/1"
"00058/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"00328/2024";"Inexigibilidade";"20/12/2024";"24/12/2024";"24/12/2026";"Vigente";"2.284.406,13";"LIFE TECHNOLOGIES BRASIL COMERCIO E INDUSTRIA DE PRODUTOS PARA BIOTECNOLOGIA LTD (63.067.904/0005-88) | PERNAMBUCO MOTOS LTDA (10.144.013/0001-98)";"5";"A retificação do prazo de validade da Ata de Registro de Preços nº 58/2024 (30194582), para que passe a ser considerada, nos termos do art. 22 do Decreto nº 11.462, de 2023, do dia 24/12/2024 ao dia 24/12/2025;";"https://pncp.gov.br/app/atas/00394494000136/2024/1407/2"
"00073/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90023/2024";"Pregão";"24/12/2024";"25/12/2024";"24/12/2026";"Vigente";"15.325.650,10";"DELTA COMERCIO DE EQUIPAMENTOS LTDA (00.202.188/0001-50) | PROMEGA BIOTECNOLOGIA DO BRASIL LTDA. (11.909.227/0001-70)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de mergulho, busca e salvamento, especificado(s) no(s) item(ns) 30 do Termo de Referência, anexo I do edital de Licitação nº 23/2024 que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1130/5"
"00066/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90023/2024";"Pregão";"24/12/2024";"25/12/2024";"24/12/2026";"Vigente";"9.569.051,77";"ENGESUB INDUSTRIA E COMERCIO LTDA (17.211.480/0001-32) | AF EMPREENDIMENTOS LTDA (29.127.216/0001-02)";"4";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de mergulho, busca e salvamento, especificado(s) no(s) item(ns) 5 do Termo de Referência, anexo I do edital de Licitação nº 23/2024 que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1130/3"
"00071/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90023/2024";"Pregão";"23/12/2024";"24/12/2024";"23/12/2026";"Vigente";"867.342,00";"ULTRAMAR IMPORTACAO LTDA (81.571.010/0001-89) | EQUIPAMENTOS TATICOS DO SUL DO BRASIL LTDA (37.483.573/0001-23)";"2";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de mergulho, busca e salvamento, especificado(s) no(s) item(ns) 24 e 27 do Termo de Referência, anexo I do edital de Licitação nº 23/2024 que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1130/2"
"00047/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"00257/2024";"Inexigibilidade";"03/12/2024";"23/12/2024";"23/12/2026";"Vigente";"298.454.877,50";"COMPANHIA BRASILEIRA DE CARTUCHOS (57.494.031/0001-63) | COMPANHIA BRASILEIRA DE CARTUCHOS (57.494.031/0010-54) | ARBJI COMERCIO DE ELETRONICOS E COMPONENTES LTDA (04.730.121/0001-40)";"116";"aquisição de munição comum e de treinamento a fim de atender a demanda da Diretoria da Força Nacional de Segurança Pública da SENASP (DFNSP) e da Diretoria de Operações Integradas e de Inteligência (DIOPI), especificado do Termo de Referência";"https://pncp.gov.br/app/atas/00394494000136/2024/1233/1"
"00062/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90014/2024";"Pregão";"19/12/2024";"23/12/2024";"23/12/2026";"Vigente";"15.970.349,06";"RC-FOREVER COMERCIO DE VEICULOS LTDA (07.692.490/0001-83) | VECTRA WORK INDUSTRIA E COMERCIO DE UNIFORMES E EQUIPAMENTOS DE PROTECAO INDIVID (11.694.789/0001-44)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de meios de transporte aquáticos, sendo estes lanchas e motos aquáticas, especificado(s) no(s) item(ns) 03 do Termo de Referência (28091756), anexo I do edital de Licitação nº 14/2024 (28707910), que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/839/2"
"00074/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90030/2025";"Pregão";"23/12/2025";"24/12/2025";"23/12/2026";"Vigente";"9.814.480,00";"FLUTSPUMA ESPUMAS INDUSTRIAIS LTDA (53.777.835/0001-19) | TECGPS SISTEMAS DE RASTREAMENTO LTDA (13.074.840/0001-40)";"1";"registro de preços para a eventual aquisição de rastreadores veiculares com tecnologia GSM para atender demanda da Secretaria Nacional de Segurança Pública (SENASP/MJSP) e demais órgãos de Segurança Pública partícipes,  , especificado no item 01 constante da tabela anexa ao item 1.1 do Termo de Referência (33160971), anexo do Edital do Pregão Eletrônico nº 30/2025 (33105163), que é parte integrante desta Ata.";"https://pncp.gov.br/app/atas/00394494000136/2025/1276/1"
"00065/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90023/2024";"Pregão";"19/12/2024";"20/12/2024";"19/12/2026";"Vigente";"3.704.884,92";"MB COMERCIO DE MAQUINAS, FERRAMENTAS E SERVICOS LTDA (18.272.465/0001-67) | COMFORT INDUSTRIA E COMERCIO LTDA (10.215.056/0001-17)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de mergulho, busca e salvamento, especificado(s) no(s) item(ns) 5 do Termo de Referência, anexo I do edital de Licitação nº 23/2024 que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1130/1"
"00061/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90005/2024";"Pregão";"19/12/2024";"20/12/2024";"19/12/2026";"Vigente";"19.293.093,16";"Ceská zbrojovka a.s. () | PERNAMBUCO MOTOS LTDA (10.144.013/0001-98)";"1";"A presente Ata tem por objeto é o registro de preços para a aquisição de armamentos e acessórios, visando atender à demanda da Secretaria Nacional de Segurança Pública e demais órgãos participantes, especificados nos itens do Termo de Referência nº 10/2024 (27983823), anexo do Edital de Licitação PE 90005/2024 (27963927), que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados (28994865), independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/291/1"
"00056/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"00328/2024";"Inexigibilidade";"16/12/2024";"17/12/2024";"16/12/2026";"Vigente";"81.053.828,48";"LIFE TECHNOLOGIES BRASIL COMERCIO E INDUSTRIA DE PRODUTOS PARA BIOTECNOLOGIA LTD (63.067.904/0002-35) | BYD DO BRASIL LTDA. (17.140.820/0007-77)";"2";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de automação para os Laboratórios da RIBPG para fins de processamento de amostras de material biológico de condenados, e insumos para a quantificação e amplificação de STRs de amostras dos Laboratórios Genética Forense das Unidades da Federação da Rede Integrada de Bancos de Perfis Genéticos (RIBPG), especificado(s) no(s) item(ns) 01 e 02 do Termo de Referência (29941434) que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados (30089701), independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1407/1"
"00037/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90096/2023";"Inexigibilidade";"11/12/2024";"13/12/2024";"13/12/2026";"Vigente";"16.213.955,52";"CONDOR S/A INDUSTRIA QUIMICA (30.092.431/0001-96) | INK FITNESS EQUIPAMENTOS ESPORTIVOS LTDA (45.196.517/0001-36) | ACTATEC INDUSTRIA E COMERCIO DE PECAS E ACESSORIOS PARA VEICULOS LTDA. (34.032.252/0002-03)";"1";"Registro de preços para a eventual aquisição de lançador de munição não letal calibre 40mm ou por arma similar no calibre 37mm/40mm, especificado no item 1 do Termo de Referência (28399357), que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2023/1023/1"
"00050/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90045/2024";"Pregão";"12/12/2024";"13/12/2024";"13/12/2026";"Vigente";"258.914.093,80";"TRIEL-HT INDUSTRIAL E PARTICIPACOES S/A (89.422.042/0001-24) | UNIART METAIS E MADEIRA LTDA (47.482.995/0001-38)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de veículos caracterizados do tipo Auto Bomba Tanque e Salvamento - ABTS tipo 1 e Auto Bomba Tanque e Salvamento - ABTS tipo 2, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.";"https://pncp.gov.br/app/atas/00394494000136/2024/1157/2"
"00049/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90045/2024";"Pregão";"09/12/2024";"11/12/2024";"11/12/2026";"Vigente";"528.635.624,10";"MITREN - SISTEMAS E MONTAGENS VEICULARES S.A. (92.249.150/0001-51) | SCITEC SOLUCOES EM ENSAIOS DE MATERIAIS E PRODUTOS LTDA (10.228.279/0001-19)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de veículos caracterizados do tipo Auto Bomba Tanque e Salvamento - ABTS tipo 1 e Auto Bomba Tanque e Salvamento - ABTS tipo 2, nos termos da tabela abaixo, conforme condições e exigências estabelecidas neste instrumento.";"https://pncp.gov.br/app/atas/00394494000136/2024/1157/1"
"00053/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90012/2024";"Pregão";"11/12/2024";"12/12/2024";"11/12/2026";"Vigente";"30.063.249,40";"R J C DEFESA E AEROESPACIAL LTDA (71.919.328/0001-54) | SUPORTE INDUSTRIA E COMERCIO DE ARTIGOS MILITARES LTDA (15.136.916/0001-40)";"2";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de instrumentos de menor potencial ofensivo - IMPO, especificado(s) no(s) item(ns) 10 e 11 do Termo de Referência, anexo I do edital de Licitação nº 12/2024  (29140675) que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1077/2"
"00052/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90012/2024";"Pregão";"11/12/2024";"12/12/2024";"11/12/2026";"Vigente";"117.157.094,84";"CONDOR S/A INDUSTRIA QUIMICA (30.092.431/0001-96) | CITEROL - COMERCIO E INDUSTRIA DE TECIDOS E ROUPAS S/A (17.183.666/0001-25)";"9";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de instrumentos de menor potencial ofensivo - IMPO, especificado(s) no(s) item(ns) 01 a 09 do Termo de Referência, anexo I do edital de Licitação nº 12/2024  (29140675) que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1077/1"
"00051/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90033/2024";"Pregão";"10/12/2024";"11/12/2024";"10/12/2026";"Vigente";"167.227.818,72";"AXON ENTERPRISE, INC. () | A. L. NOGUEIRA COMERCIO E SERVICOS (10.400.122/0001-29)";"8";"Registro de preços para aquisição de Armas Eletroeletrônicas de Incapacitação Neuromuscular (AINM), para atender demanda da Secretaria Nacional de Segurança Pública e demais órgão participantes, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"https://pncp.gov.br/app/atas/00394494000136/2024/1097/1"
"00067/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90023/2024";"Pregão";"24/12/2024";"25/12/2024";"24/11/2026";"Vigente";"2.011.329,44";"INNOVA COMERCIO DE MAQUINAS E EQUIPAMENTOS LTDA (36.415.033/0001-40) | ACN COMERCIO DE PRODUTOS DE TRANSITO LTDA (73.628.307/0001-05)";"3";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de mergulho, busca e salvamento, especificado(s) no(s) item(ns) 10, 19 e 25 do Termo de Referência, anexo I do edital de Licitação nº 23/2024 que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1130/4"
"00068/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90015/2025";"Pregão";"11/11/2025";"12/11/2025";"13/11/2026";"Vigente (Prorrogada PNCP)";"865.844.190,00";"RBF DISTRIBUIDORA E SERVICOS LTDA (11.031.398/0001-40) | HPE AUTOMOTORES DO BRASIL LTDA (54.305.743/0011-70)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de veículo, tipo Caminhonete/Pick-up, caracterizado, destinado a atender a Secretaria Nacional de Segurança Pública e demais órgãos participantes, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos., anexo do Edital do Pregão Eletrônico nº 90015/2025 (31618013), que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2025/996/1"
"00048/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90008/2024";"Pregão";"11/11/2024";"12/11/2024";"11/11/2026";"Vigente";"3.476.588,50";"T L SOLUCOES TECNOLOGICAS LTDA (49.490.183/0001-60) | ?eská zbrojovka a.s. ()";"1";"aquisição de aeronaves remotamente tripuladas - drones e baterias para drones, para atender as demandas da Diretoria de Operações Integradas e de Inteligências - DIOPI (oriundas da Coordenação Geral de Fronteiras - CGFRON, do Programa de Enfrentamento das Organizações Criminosas - ENFOC e da Coordenação-Geral de Inteligência (CGINT) através dos Centros Integrados de Inteligência de Segurança Pública (CIISP); da Diretoria da Força Nacional de Segurança Pública - DFNSP, do Plano Amazônia: Segurança e Soberania (PLANO AMAS) e das Cartilhas das Emendas Parlamentares conforme Termo de Referência (SEI nº 28557477) e Estudo Técnico Preliminar nº 29/2024 (SEI nº 28557183), anexos ao edital de Pregão nº 08/2024 (SEI nº 28663971).";"https://pncp.gov.br/app/atas/00394494000136/2024/820/5"
"00044/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90008/2024";"Pregão";"07/11/2024";"08/11/2024";"07/11/2026";"Vigente";"126.961.858,71";"GOHOBBY FUTURE TECHNOLOGY LTDA (13.373.898/0001-95) | RF COMERCIO DE CALCADOS LTDA (33.088.750/0001-16)";"1";"registro de preços para a eventual aquisição de aeronaves remotamente tripuladas - drones e baterias para drones, para atender as demandas da Diretoria de Operações Integradas e de Inteligências - DIOPI (oriundas da Coordenação Geral de Fronteiras - CGFRON, do Programa de Enfrentamento das Organizações Criminosas - ENFOC e da Coordenação-Geral de Inteligência (CGINT) através dos Centros Integrados de Inteligência de Segurança Pública (CIISP); da Diretoria da Força Nacional de Segurança Pública - DFNSP, do Plano Amazônia: Segurança e Soberania (PLANO AMAS) e das Cartilhas das Emendas Parlamentares";"https://pncp.gov.br/app/atas/00394494000136/2024/820/1"
"00063/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90010/2024";"Pregão";"04/11/2025";"06/11/2025";"06/11/2026";"Vigente";"10.037.590,33";"FORT CAR REBOQUES LTDA (01.114.890/0001-25) | BGS AMERICA LTDA (18.685.467/0001-88)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de proteção individual para incêndio estrutural e florestal, especificado no item 5 do Termo de Referência nº 41/2024 (30350981), anexo do Edital do Pregão Eletrônico nº 90010/2024 (28723783), que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1048/4"
"00066/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90017/2025";"Pregão";"05/11/2025";"06/11/2025";"06/11/2026";"Vigente";"5.733.527,40";"ENGESUB INDUSTRIA E COMERCIO LTDA (17.211.480/0001-32) | AF EMPREENDIMENTOS LTDA (29.127.216/0001-02)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de veículos, tipo quadriciclo (ATV) e utilitário multitarefa (UTV),caracterizados, para atender demanda da Secretaria Nacional de Segurança Púbica e demais órgão participantes, especificado no item 02 do Termo de Referência (31662383), anexo do Edital do Pregão Eletrônico nº 90017/2025, que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2025/835/3"
"00060/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90010/2024";"Pregão";"20/10/2025";"31/10/2025";"03/11/2026";"Vigente";"33.843.465,88";"TECHBIZ FORENSE DIGITAL LTDA (05.757.597/0002-18) | Haix - Schuhe - Produktions- und Vertriebs- GmbH ()";"1";"Objeto o registro de preços para a eventual aquisição de equipamentos de proteção individual para incêndio estrutural e florestal, especificado no item 2 do Termo de Referência nº 41/2024 (30350981), anexo do Edital do Pregão Eletrônico nº 90010/2024 (28723783), que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1048/1"
"00064/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90010/2024";"Pregão";"29/10/2025";"03/11/2025";"03/11/2026";"Vigente";"4.023.200,00";"RESGATECNICA COMERCIO DE EQUIPAMENTOS DE RESGATE LTDA (15.453.449/0001-82) | S.O.S SUL RESGATE - COMERCIO E SERVICOS DE SEGURANCA E SINALIZACAO LTDA (03.928.511/0001-66)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de proteção individual para incêndio estrutural e florestal, especificado no item 3 do Termo de Referência nº 41/2024 (30350981), anexo do Edital do Pregão Eletrônico nº 90010/2024 (28723783), que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1048/3"
"00062/2025";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90010/2024";"Pregão";"29/10/2025";"03/11/2025";"03/11/2026";"Vigente";"42.874.550,00";"RC-FOREVER COMERCIO DE VEICULOS LTDA (07.692.490/0001-83) | VECTRA WORK INDUSTRIA E COMERCIO DE UNIFORMES E EQUIPAMENTOS DE PROTECAO INDIVID (11.694.789/0001-44)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de equipamentos de proteção individual para incêndio estrutural e florestal, especificado no item 3 do Termo de Referência nº 41/2024 (30350981), anexo do Edital do Pregão Eletrônico nº 90010/2024 (28723783), que é parte integrante desta Ata, assim como as propostas cujos preços tenham sido registrados, independentemente de transcrição.";"https://pncp.gov.br/app/atas/00394494000136/2024/1048/2"
"00039/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90007/2024";"Pregão";"16/10/2024";"31/10/2024";"31/10/2026";"Vigente";"242.060.176,44";"MITREN - SISTEMAS E MONTAGENS VEICULARES S.A. (92.249.150/0001-51) | OBJECT COMERCIO DE EQUIPAMENTOS LTDA (25.462.154/0001-26) | ESCOLA DE AVIACAO CIVIL ASAS ROTATIVAS LTDA (03.871.566/0003-49) | EFAI - ESCOLA DE AVIACAO CIVIL LTDA (03.622.266/0001-64)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de veículos auto bomba tanque florestal (ABTF), para atender necessidades da LIGABOM, através do Escritório ComprasSusp, nos termos do Termo de Referência, anexo I do edital de Licitação nº 7/2024.";"https://pncp.gov.br/app/atas/00394494000136/2024/827/1"
"00040/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90007/2024";"Pregão";"22/10/2024";"31/10/2024";"31/10/2026";"Vigente";"1.578.378,82";"TRIEL-HT INDUSTRIAL E PARTICIPACOES S/A (89.422.042/0001-24) | TORINO INFORMATICA LTDA.. (03.619.767/0005-15) | ESCOLA DE AVIACAO CIVIL ASAS ROTATIVAS LTDA (03.871.566/0003-49) | EFAI - ESCOLA DE AVIACAO CIVIL LTDA (03.622.266/0001-64)";"1";"A presente Ata tem por objeto o registro de preços para a eventual aquisição de veículos auto bomba tanque florestal (ABTF), para atender necessidades da LIGABOM, através do Escritório ComprasSusp, nos termos do Termo de Referência, anexo I do edital de Licitação nº 7/2024.";"https://pncp.gov.br/app/atas/00394494000136/2024/827/2"
"00041/2024";"200331 - SECRETARIA NACIONAL DE SEGURANCA PUBLICA - SENASP";"90019/2024";"Pregão";"24/10/2024";"28/10/2024";"28/10/2026";"Vigente";"91.481.003,87";"VOLUS INSTITUICAO DE PAGAMENTO LTDA (03.817.702/0001-50) | SSG SOLUCOES LTDA (46.973.126/0001-43) | TRIEL-HT INDUSTRIAL E PARTICIPACOES S/A (89.422.042/0001-24)";"2";"Retificar o marco e o período de vigência da Ata de Registro de Preços.";"https://pncp.gov.br/app/atas/00394494000136/2024/813/1"
